zip_code,year_month,bait,clean_ups,compliance,initial,sighting,zip_year_month
10004,2012-04,1.0,0.0,1.0,1.0,0.0,10004 2012-04
10004,2012-06,0.0,0.0,1.0,1.0,0.0,10004 2012-06
10004,2012-12,0.0,0.0,3.0,2.0,0.0,10004 2012-12
10004,2013-02,0.0,0.0,1.0,100.0,0.0,10004 2013-02
10004,2013-03,0.0,0.0,0.0,1.0,0.0,10004 2013-03
10004,2013-04,0.0,0.0,1.0,1.0,0.0,10004 2013-04
10004,2013-05,0.0,0.0,0.0,1.0,1.0,10004 2013-05
10004,2013-06,0.0,0.0,0.0,2.0,2.0,10004 2013-06
10004,2013-07,0.0,0.0,2.0,0.0,0.0,10004 2013-07
10004,2013-08,0.0,0.0,0.0,1.0,0.0,10004 2013-08
10004,2013-09,0.0,0.0,0.0,1.0,0.0,10004 2013-09
10004,2013-10,0.0,0.0,0.0,1.0,0.0,10004 2013-10
10004,2013-11,0.0,0.0,2.0,0.0,0.0,10004 2013-11
10004,2014-01,0.0,0.0,0.0,1.0,0.0,10004 2014-01
10004,2014-02,0.0,0.0,0.0,37.0,0.0,10004 2014-02
10004,2014-03,1.0,0.0,3.0,7.0,1.0,10004 2014-03
10004,2014-04,1.0,0.0,4.0,2.0,2.0,10004 2014-04
10004,2014-10,0.0,0.0,0.0,1.0,1.0,10004 2014-10
10004,2014-11,0.0,0.0,0.0,1.0,0.0,10004 2014-11
10004,2014-12,0.0,0.0,1.0,1.0,0.0,10004 2014-12
10004,2015-03,0.0,0.0,0.0,1.0,0.0,10004 2015-03
10004,2015-04,0.0,0.0,0.0,1.0,0.0,10004 2015-04
10004,2015-06,0.0,0.0,0.0,1.0,0.0,10004 2015-06
10004,2015-07,3.0,0.0,0.0,1.0,0.0,10004 2015-07
10004,2015-08,4.0,0.0,0.0,0.0,0.0,10004 2015-08
10004,2015-09,3.0,0.0,0.0,1.0,1.0,10004 2015-09
10004,2015-10,5.0,0.0,0.0,0.0,1.0,10004 2015-10
10004,2015-11,0.0,0.0,0.0,1.0,0.0,10004 2015-11
10004,2016-02,0.0,0.0,0.0,2.0,1.0,10004 2016-02
10004,2016-03,0.0,0.0,0.0,1.0,0.0,10004 2016-03
10004,2016-05,0.0,0.0,0.0,1.0,0.0,10004 2016-05
10004,2016-06,0.0,0.0,0.0,2.0,0.0,10004 2016-06
10004,2016-07,0.0,0.0,0.0,1.0,0.0,10004 2016-07
10004,2016-08,0.0,0.0,0.0,1.0,1.0,10004 2016-08
10004,2016-09,0.0,0.0,1.0,1.0,0.0,10004 2016-09
